0.10	346.6
0.14	347.5
0.18	328.6
0.22	309.2
0.26	288.4
0.30	243.6
0.34	106.9
0.38	145.0
0.42	159.0
0.45	167.8
0.49	171.6
0.53	177.6
0.57	180.4
0.61	181.9
0.65	186.7
0.69	190.0
0.73	192.6
0.77	194.5
0.81	196.1
0.85	197.2
0.89	198.1
0.93	198.8
0.97	199.5
1.01	199.9
1.05	200.3
1.08	200.6
1.12	200.7
1.16	200.6
1.20	200.3
1.24	199.9
1.28	199.4
1.32	198.8
1.36	198.0
1.40	197.2
1.44	196.3
1.48	195.3
1.52	194.4
1.56	193.4
1.60	192.2
1.64	191.0
1.68	189.6
1.72	188.1
1.75	186.6
1.79	185.0
1.83	183.3
1.87	181.4
1.91	179.4
1.95	177.2
1.99	174.9
2.03	172.4
2.07	169.7
2.11	166.9
2.15	163.8
2.19	160.5
2.23	156.8
2.27	152.9
2.31	148.5
2.35	143.6
2.38	138.2
2.42	132.0
2.46	125.0
2.50	117.0
2.54	107.7
2.58	97.3
2.62	86.0
2.66	74.2
2.70	62.2
2.74	50.4
2.78	39.0
2.82	28.4
2.86	18.9
2.90	11.2
2.94	5.8
2.98	2.5
3.02	0.4
3.05	1.8
3.09	1.9
3.13	0.9
3.17	1.6
3.21	1.9
3.25	2.0
3.29	2.0
3.33	1.8
3.37	1.6
3.41	0.9
3.45	1.4
3.49	1.4
3.53	1.3
3.57	1.3
3.61	1.2
3.65	1.1
3.68	1.0
3.72	0.9
3.76	0.8
3.80	0.8
3.84	0.7
3.88	0.6
3.92	0.6
3.96	0.5
4.00	0.5
