0.10	302.93
0.14	303.78
0.18	287.33
0.22	270.48
0.26	252.44
0.30	213.54
0.34	94.39
0.38	127.66
0.42	139.88
0.45	147.47
0.49	150.84
0.53	156.02
0.57	158.46
0.61	159.75
0.65	163.92
0.69	166.81
0.73	169.02
0.77	170.65
0.81	172.00
0.85	172.97
0.89	173.72
0.93	174.29
0.97	174.80
1.01	175.14
1.05	175.49
1.08	175.70
1.12	175.72
1.16	175.59
1.20	175.34
1.24	174.97
1.28	174.48
1.32	173.89
1.36	173.21
1.40	172.45
1.44	171.60
1.48	170.72
1.52	169.88
1.56	168.96
1.60	167.94
1.64	166.82
1.68	165.61
1.72	164.30
1.75	162.97
1.79	161.55
1.83	160.03
1.87	158.40
1.91	156.62
1.95	154.73
1.99	152.70
2.03	150.51
2.07	148.24
2.11	145.80
2.15	143.18
2.19	140.36
2.23	137.30
2.27	133.97
2.31	130.32
2.35	126.30
2.38	121.84
2.42	116.83
2.46	111.16
2.50	104.68
2.54	97.22
2.58	88.64
2.62	79.01
2.66	68.65
2.70	57.92
2.74	47.19
2.78	36.75
2.82	26.87
2.86	17.96
2.90	10.62
2.94	5.47
2.98	2.31
3.02	0.38
3.05	1.66
3.09	1.74
3.13	0.86
3.17	1.51
3.21	1.77
3.25	1.84
3.29	1.79
3.33	1.68
3.37	1.47
3.41	0.78
3.45	1.27
3.49	1.28
3.53	1.23
3.57	1.16
3.61	1.08
3.65	0.99
3.68	0.91
3.72	0.83
3.76	0.76
3.80	0.69
3.84	0.62
3.88	0.56
3.92	0.51
3.96	0.46
4.00	0.41
