0.10	379.281
0.14	380.289
0.18	360.929
0.22	341.045
0.26	319.689
0.30	273.339
0.34	127.067
0.38	168.609
0.42	183.734
0.45	193.108
0.49	197.284
0.53	203.678
0.57	206.715
0.61	208.352
0.65	213.496
0.69	217.084
0.73	219.850
0.77	221.908
0.81	223.639
0.85	224.894
0.89	225.902
0.93	226.681
0.97	227.409
1.01	227.924
1.05	228.456
1.08	228.824
1.12	228.964
1.16	228.936
1.20	228.760
1.24	228.446
1.28	227.996
1.32	227.432
1.36	226.769
1.40	226.015
1.44	225.156
1.48	224.264
1.52	223.433
1.56	222.519
1.60	221.496
1.64	220.361
1.68	219.123
1.72	217.783
1.75	216.428
1.79	214.985
1.83	213.446
1.87	211.779
1.91	209.970
1.95	208.042
1.99	205.983
2.03	203.751
2.07	201.469
2.11	199.032
2.15	196.435
2.19	193.651
2.23	190.665
2.27	187.445
2.31	183.953
2.35	180.160
2.38	176.015
2.42	171.451
2.46	166.387
2.50	160.712
2.54	154.280
2.58	146.901
2.62	138.334
2.66	128.337
2.70	116.756
2.74	103.830
2.78	89.947
2.82	75.362
2.86	60.188
2.90	44.325
2.94	27.463
2.98	11.171
3.02	1.050
3.05	4.945
3.09	5.293
3.13	2.587
3.17	4.209
3.21	5.029
3.25	5.302
3.29	5.266
3.33	5.034
3.37	4.483
3.41	2.369
3.45	3.785
3.49	3.858
3.53	3.758
3.57	3.595
3.61	3.393
3.65	3.161
3.68	2.928
3.72	2.696
3.76	2.465
3.80	2.246
3.84	2.040
3.88	1.845
3.92	1.666
3.96	1.501
4.00	1.350
